#域名在前、IP在后，支持一行多个IP，支持IPv6
#dns.google 8.8.8.8 8.8.4.4 2001:4860:4860::8888
localhost 127.0.0.1
alive.github.com 140.82.113.25
api.github.com 20.205.243.168
api.individual.githubcopilot.com 140.82.112.21
avatars.githubusercontent.com 185.199.111.133
avatars0.githubusercontent.com 185.199.111.133
avatars1.githubusercontent.com 185.199.111.133
avatars2.githubusercontent.com 185.199.111.133
avatars3.githubusercontent.com 185.199.111.133
avatars4.githubusercontent.com 185.199.111.133
avatars5.githubusercontent.com 185.199.111.133
camo.githubusercontent.com 185.199.111.133
central.github.com 140.82.114.22
cloud.githubusercontent.com 185.199.111.133
codeload.github.com 20.205.243.165
collector.github.com 140.82.113.21
desktop.githubusercontent.com 185.199.111.133
favicons.githubusercontent.com 185.199.111.133
gist.github.com 20.205.243.166
github-cloud.s3.amazonaws.com 54.231.235.17
github-com.s3.amazonaws.com 52.217.175.9
github-production-release-asset-2e65be.s3.amazonaws.com 54.231.165.145
github-production-repository-file-5c1aeb.s3.amazonaws.com 3.5.27.165
github-production-user-asset-6210df.s3.amazonaws.com 16.182.64.137
github.blog 192.0.66.2
github.com 20.205.243.166
github.community 140.82.114.17
github.githubassets.com 185.199.111.154
github.global.ssl.fastly.net 151.101.1.194
github.io 185.199.108.153
github.map.fastly.net 185.199.111.133
githubstatus.com 185.199.108.153
live.github.com 140.82.113.25
media.githubusercontent.com 185.199.111.133
objects.githubusercontent.com 185.199.111.133
pipelines.actions.githubusercontent.com 13.107.42.16
raw.githubusercontent.com 185.199.111.133
user-images.githubusercontent.com 185.199.111.133
vscode.dev 13.107.246.73
education.github.com 140.82.114.22
private-user-images.githubusercontent.com 185.199.111.133
